r,g,employment_final
0.001,0,0.499181
0.0015,0,0.382903
0.002,0,0.271917
0.0025,0,0.178625
0.003,0,0.125542
0.0035,0,0.0792361
0.004,0,0.0540139
0.0045,0,0.036875
0.005,0,0.025
0.0055,0,0.0165417
0.006,0,0.0112917
0.0065,0,0.00486111
0.007,0,0
0.001,0.000666667,0.603583
0.0015,0.000666667,0.487181
0.002,0.000666667,0.374375
0.0025,0.000666667,0.274347
0.003,0.000666667,0.188069
0.0035,0.000666667,0.137167
0.004,0.000666667,0.0955972
0.0045,0.000666667,0.0658194
0.005,0.000666667,0.0478333
0.0055,0.000666667,0.0337083
0.006,0.000666667,0.0241806
0.0065,0.000666667,0.00547222
0.007,0.000666667,0
0.001,0.00133333,0.716903
0.0015,0.00133333,0.601375
0.002,0.00133333,0.486514
0.0025,0.00133333,0.375847
0.003,0.00133333,0.288889
0.0035,0.00133333,0.209542
0.004,0.00133333,0.154347
0.0045,0.00133333,0.118222
0.005,0.00133333,0.0833611
0.0055,0.00133333,0.0614583
0.006,0.00133333,0.0467083
0.0065,0.00133333,0.00547222
0.007,0.00133333,0
0.001,0.002,0.785611
0.0015,0.002,0.715611
0.002,0.002,0.608764
0.0025,0.002,0.497028
0.003,0.002,0.393417
0.0035,0.002,0.314319
0.004,0.002,0.241139
0.0045,0.002,0.179625
0.005,0.002,0.142028
0.0055,0.002,0.110847
0.006,0.002,0.0816667
0.0065,0.002,0.00547222
0.007,0.002,0
0.001,0.00266667,0.830111
0.0015,0.00266667,0.761444
0.002,0.00266667,0.713972
0.0025,0.00266667,0.619653
0.003,0.00266667,0.516542
0.0035,0.00266667,0.425472
0.004,0.00266667,0.342708
0.0045,0.00266667,0.279792
0.005,0.00266667,0.219514
0.0055,0.00266667,0.170917
0.006,0.00266667,0.0995139
0.0065,0.00266667,0.00547222
0.007,0.00266667,0
0.001,0.00333333,0.861028
0.0015,0.00333333,0.799944
0.002,0.00333333,0.749708
0.0025,0.00333333,0.712486
0.003,0.00333333,0.6355
0.0035,0.00333333,0.546764
0.004,0.00333333,0.463361
0.0045,0.00333333,0.384972
0.005,0.00333333,0.320875
0.0055,0.00333333,0.214889
0.006,0.00333333,0.0995139
0.0065,0.00333333,0.00547222
0.007,0.00333333,0
0.001,0.004,0.8835
0.0015,0.004,0.829319
0.002,0.004,0.780472
0.0025,0.004,0.742667
0.003,0.004,0.711556
0.0035,0.004,0.650014
0.004,0.004,0.562333
0.0045,0.004,0.449847
0.005,0.004,0.331556
0.0055,0.004,0.214889
0.006,0.004,0.0995139
0.0065,0.004,0.00547222
0.007,0.004,0
0.001,0.00466667,0.900931
0.0015,0.00466667,0.851167
0.002,0.00466667,0.8075
0.0025,0.00466667,0.767667
0.003,0.00466667,0.737833
0.0035,0.00466667,0.683208
0.004,0.00466667,0.567528
0.0045,0.00466667,0.45
0.005,0.00466667,0.331556
0.0055,0.00466667,0.214889
0.006,0.00466667,0.0995139
0.0065,0.00466667,0.00547222
0.007,0.00466667,0
0.001,0.00533333,0.913667
0.0015,0.00533333,0.8695
0.002,0.00533333,0.828833
0.0025,0.00533333,0.7915
0.003,0.00533333,0.758833
0.0035,0.00533333,0.685
0.004,0.00533333,0.567528
0.0045,0.00533333,0.45
0.005,0.00533333,0.331556
0.0055,0.00533333,0.214889
0.006,0.00533333,0.0995139
0.0065,0.00533333,0.00547222
0.007,0.00533333,0
0.001,0.006,0.923167
0.0015,0.006,0.882
0.002,0.006,0.845667
0.0025,0.006,0.811167
0.003,0.006,0.778153
0.0035,0.006,0.685264
0.004,0.006,0.567528
0.0045,0.006,0.45
0.005,0.006,0.331556
0.0055,0.006,0.214889
0.006,0.006,0.0995139
0.0065,0.006,0.00547222
0.007,0.006,0
0.001,0.00666667,0.926667
0.0015,0.00666667,0.887167
0.002,0.00666667,0.853
0.0025,0.00666667,0.821167
0.003,0.00666667,0.786736
0.0035,0.00666667,0.685264
0.004,0.00666667,0.567528
0.0045,0.00666667,0.45
0.005,0.00666667,0.331556
0.0055,0.00666667,0.214889
0.006,0.00666667,0.0995139
0.0065,0.00666667,0.00547222
0.007,0.00666667,0
0.001,0.00733333,0.928167
0.0015,0.00733333,0.889333
0.002,0.00733333,0.855333
0.0025,0.00733333,0.825167
0.003,0.00733333,0.790153
0.0035,0.00733333,0.685264
0.004,0.00733333,0.567528
0.0045,0.00733333,0.45
0.005,0.00733333,0.331556
0.0055,0.00733333,0.214889
0.006,0.00733333,0.0995139
0.0065,0.00733333,0.00547222
0.007,0.00733333,0
0.001,0.008,0.929
0.0015,0.008,0.8905
0.002,0.008,0.8565
0.0025,0.008,0.826833
0.003,0.008,0.791792
0.0035,0.008,0.685264
0.004,0.008,0.567528
0.0045,0.008,0.45
0.005,0.008,0.331556
0.0055,0.008,0.214889
0.006,0.008,0.0995139
0.0065,0.008,0.00547222
0.007,0.008,0
