scenario,param,factor,value,regime,emp_final,gini_emp_final
collapse,F0,0.8,0.16000000000000003,collapse,0.027450000000000002,0.1120938895674634
collapse,F0,1.0,0.2,collapse,0.024125,0.10071962680773645
collapse,F0,1.2,0.24,collapse,0.02088333333333333,0.08756715807931702
collapse,ability_median,0.8,0.4,collapse,0.008016666666666668,0.0939071078749709
collapse,ability_median,1.0,0.5,collapse,0.024125,0.10071962680773645
collapse,ability_median,1.2,0.6,collapse,0.054474999999999996,0.0961591682452174
collapse,task_density,0.8,1600.0,collapse,0.023558333333333337,0.09844945892665963
collapse,task_density,1.0,2000.0,collapse,0.024125,0.10071962680773645
collapse,task_density,1.2,2400.0,collapse,0.02419166666666667,0.10107393766092639
tug,F0,0.8,0.16000000000000003,reallocation,0.5997,0.14153391687348393
tug,F0,1.0,0.2,reallocation,0.5639083333333333,0.13162619362948944
tug,F0,1.2,0.24,reallocation,0.525625,0.12148626493103316
tug,ability_median,0.8,0.4,reallocation,0.402675,0.12697185260972793
tug,ability_median,1.0,0.5,reallocation,0.5639083333333333,0.13162619362948944
tug,ability_median,1.2,0.6,reallocation,0.5673083333333333,0.13249312379105685
tug,task_density,0.8,1600.0,reallocation,0.4546,0.13191913749489223
tug,task_density,1.0,2000.0,reallocation,0.5639083333333333,0.13162619362948944
tug,task_density,1.2,2400.0,reallocation,0.5883500000000002,0.1206595303127372
realloc,F0,0.8,0.16000000000000003,reallocation,0.8208249999999999,0.20526828475655973
realloc,F0,1.0,0.2,reallocation,0.780575,0.19302718167342087
realloc,F0,1.2,0.24,reallocation,0.7390583333333333,0.18062915737124213
realloc,ability_median,0.8,0.4,reallocation,0.634,0.15020437598679007
realloc,ability_median,1.0,0.5,reallocation,0.780575,0.19302718167342087
realloc,ability_median,1.2,0.6,reallocation,0.7927333333333333,0.19688958018803712
realloc,task_density,0.8,1600.0,reallocation,0.6344166666666667,0.19662313661438952
realloc,task_density,1.0,2000.0,reallocation,0.780575,0.19302718167342087
realloc,task_density,1.2,2400.0,reallocation,0.8445,0.16964001958626979
