month,employment_rate,labor_share
0,0.84,0.756068
1,0.8425,0.75098
2,0.847,0.752634
3,0.871,0.772671
4,0.88,0.798939
5,0.8785,0.803826
6,0.874,0.80234
7,0.913,0.833484
8,0.9225,0.874714
9,0.906,0.825615
10,0.9565,0.891982
11,0.9255,0.884765
12,0.9475,0.88751
13,0.9595,0.894131
14,0.9625,0.920996
15,0.9665,0.952466
16,0.964,0.944081
17,0.963,0.92712
18,0.967,0.95031
19,0.9675,0.980644
20,0.9675,0.978573
21,0.9675,0.980682
22,0.968,0.959075
23,0.969,0.976645
24,0.9695,0.979368
25,0.9695,0.978293
26,0.97,0.978149
27,0.97,0.974988
28,0.9705,0.975095
29,0.97,0.976462
30,0.9705,0.977525
31,0.971,0.972145
32,0.9705,0.972928
33,0.9705,0.974555
34,0.971,0.975858
35,0.9715,0.975347
36,0.9715,0.972834
37,0.9715,0.973906
38,0.971,0.972752
39,0.971,0.969987
40,0.971,0.972619
41,0.9715,0.969706
42,0.971,0.968101
43,0.9715,0.968039
44,0.9715,0.970241
45,0.9715,0.968845
46,0.9715,0.970273
47,0.9715,0.968065
48,0.9715,0.966267
49,0.9715,0.967295
50,0.9715,0.964775
51,0.9715,0.966625
52,0.9715,0.963681
53,0.9715,0.964523
54,0.9715,0.963354
55,0.9715,0.961642
56,0.9715,0.963426
57,0.9715,0.960502
58,0.9715,0.959147
59,0.9715,0.960546
60,0.9715,0.960004
61,0.9715,0.959715
62,0.9715,0.957891
63,0.9715,0.960514
64,0.9715,0.957896
65,0.9715,0.959765
66,0.9715,0.957667
67,0.9715,0.958026
68,0.9715,0.958905
69,0.9715,0.956314
70,0.9715,0.953312
71,0.9715,0.950515
72,0.9715,0.956514
73,0.9715,0.952359
74,0.9715,0.951014
75,0.9715,0.948251
76,0.9715,0.952189
77,0.9715,0.945921
78,0.9715,0.949857
79,0.9715,0.9511
80,0.9715,0.945181
81,0.9715,0.948113
82,0.9715,0.946438
83,0.9715,0.940813
84,0.9715,0.947456
85,0.9715,0.946428
86,0.9715,0.947151
87,0.9715,0.940967
88,0.9715,0.941898
89,0.9715,0.944445
90,0.9715,0.940637
91,0.9715,0.937776
92,0.9715,0.937798
93,0.9715,0.942985
94,0.9715,0.941271
95,0.9715,0.93774
96,0.9715,0.937702
97,0.9715,0.933397
98,0.9715,0.933992
99,0.9715,0.937332
100,0.9715,0.932697
101,0.9715,0.930847
102,0.9715,0.936441
103,0.9715,0.934837
104,0.9715,0.934719
105,0.9715,0.933788
106,0.9715,0.930272
107,0.9715,0.928725
108,0.9715,0.928139
109,0.9715,0.926218
110,0.9715,0.927952
111,0.9715,0.925768
112,0.9715,0.925515
113,0.9715,0.9245
114,0.9715,0.924111
115,0.9715,0.926856
116,0.9715,0.919942
117,0.9715,0.923831
118,0.9715,0.925904
119,0.9715,0.921097
120,0.9715,0.923512
121,0.9715,0.917624
122,0.9715,0.921856
123,0.9715,0.920039
124,0.9715,0.919812
125,0.9715,0.916682
126,0.9715,0.916375
127,0.9715,0.914715
128,0.9715,0.912453
129,0.9715,0.917821
130,0.9715,0.914641
131,0.9715,0.915272
132,0.9715,0.913539
133,0.9715,0.913822
134,0.9715,0.907733
135,0.9715,0.909747
136,0.9715,0.91222
137,0.9715,0.910095
138,0.9715,0.908089
139,0.9715,0.906948
140,0.9715,0.904281
141,0.9715,0.907033
142,0.9715,0.90972
143,0.9715,0.908509
144,0.9715,0.90617
145,0.9715,0.902065
146,0.9715,0.906501
147,0.9715,0.907537
148,0.9715,0.899422
149,0.9715,0.900555
150,0.9715,0.900683
151,0.9715,0.893629
152,0.9715,0.897345
153,0.9715,0.895793
154,0.9715,0.895243
155,0.9715,0.89303
156,0.9715,0.892659
157,0.9715,0.891207
158,0.9715,0.899728
159,0.9715,0.90152
160,0.9715,0.888626
161,0.9715,0.891046
162,0.9715,0.894076
163,0.9715,0.88636
164,0.9715,0.887841
165,0.9715,0.889949
166,0.9715,0.884219
167,0.9715,0.890815
168,0.9715,0.886209
169,0.9715,0.888178
170,0.9715,0.878174
171,0.9715,0.88975
172,0.9715,0.881766
173,0.9715,0.884822
174,0.9715,0.885365
175,0.9715,0.882242
176,0.9715,0.877995
177,0.9715,0.88443
178,0.9715,0.877902
179,0.9715,0.878502
180,0.9715,0.879379
181,0.9715,0.880842
182,0.9715,0.875316
183,0.9715,0.876085
184,0.9715,0.877561
185,0.9715,0.879198
186,0.9715,0.87185
187,0.9715,0.872143
188,0.9715,0.871853
189,0.9715,0.875212
190,0.9715,0.87068
191,0.9715,0.870629
192,0.9715,0.870111
193,0.9715,0.868763
194,0.9715,0.866968
195,0.9715,0.869447
196,0.9715,0.867522
197,0.9715,0.867237
198,0.9715,0.866715
199,0.9715,0.860139
200,0.9715,0.858622
201,0.9715,0.866365
202,0.9715,0.865813
203,0.9715,0.864008
204,0.9715,0.865785
205,0.9715,0.855655
206,0.9715,0.856947
207,0.9715,0.858255
208,0.9715,0.853308
209,0.9715,0.860644
210,0.9715,0.858506
211,0.9715,0.855211
212,0.9715,0.855287
213,0.9715,0.854086
214,0.9715,0.851851
215,0.9715,0.852495
216,0.9715,0.843282
217,0.9715,0.854484
218,0.9715,0.85918
219,0.9715,0.847475
220,0.9715,0.847291
221,0.9715,0.847029
222,0.9715,0.843124
223,0.9715,0.845434
224,0.9715,0.839315
225,0.9715,0.850667
226,0.9715,0.84051
227,0.9715,0.842673
228,0.9715,0.852265
229,0.9715,0.84923
230,0.9715,0.841026
231,0.9715,0.844672
232,0.9715,0.843497
233,0.9715,0.843668
234,0.9715,0.844985
235,0.9715,0.837078
236,0.9715,0.837762
237,0.9715,0.836033
238,0.9715,0.834312
239,0.9715,0.840542
