g,F_ceiling(-1=None),regime_code
0,0.4,3
0.001,0.4,3
0.002,0.4,3
0.003,0.4,3
0.004,0.4,3
0.005,0.4,3
0.006,0.4,3
0.007,0.4,3
0.008,0.4,3
0,0.514286,1
0.001,0.514286,3
0.002,0.514286,3
0.003,0.514286,3
0.004,0.514286,3
0.005,0.514286,3
0.006,0.514286,3
0.007,0.514286,3
0.008,0.514286,3
0,0.628571,1
0.001,0.628571,1
0.002,0.628571,1
0.003,0.628571,1
0.004,0.628571,1
0.005,0.628571,1
0.006,0.628571,1
0.007,0.628571,1
0.008,0.628571,1
0,0.742857,0
0.001,0.742857,1
0.002,0.742857,1
0.003,0.742857,1
0.004,0.742857,1
0.005,0.742857,1
0.006,0.742857,1
0.007,0.742857,1
0.008,0.742857,1
0,0.857143,0
0.001,0.857143,1
0.002,0.857143,1
0.003,0.857143,1
0.004,0.857143,1
0.005,0.857143,1
0.006,0.857143,1
0.007,0.857143,1
0.008,0.857143,1
0,0.971429,0
0.001,0.971429,1
0.002,0.971429,1
0.003,0.971429,1
0.004,0.971429,1
0.005,0.971429,1
0.006,0.971429,1
0.007,0.971429,1
0.008,0.971429,1
0,1.08571,0
0.001,1.08571,1
0.002,1.08571,1
0.003,1.08571,1
0.004,1.08571,1
0.005,1.08571,1
0.006,1.08571,1
0.007,1.08571,1
0.008,1.08571,1
0,1.2,0
0.001,1.2,1
0.002,1.2,1
0.003,1.2,1
0.004,1.2,1
0.005,1.2,1
0.006,1.2,1
0.007,1.2,1
0.008,1.2,1
0,-1,0
0.001,-1,0
0.002,-1,1
0.003,-1,1
0.004,-1,1
0.005,-1,1
0.006,-1,1
0.007,-1,1
0.008,-1,1
