r,F_ceiling(-1=None),regime_code
0.002,0.4,1
0.0025,0.4,1
0.003,0.4,3
0.0035,0.4,3
0.004,0.4,3
0.0045,0.4,3
0.005,0.4,3
0.0055,0.4,3
0.006,0.4,3
0.002,0.514286,1
0.0025,0.514286,1
0.003,0.514286,1
0.0035,0.514286,1
0.004,0.514286,3
0.0045,0.514286,3
0.005,0.514286,3
0.0055,0.514286,3
0.006,0.514286,3
0.002,0.628571,1
0.0025,0.628571,1
0.003,0.628571,1
0.0035,0.628571,1
0.004,0.628571,1
0.0045,0.628571,1
0.005,0.628571,1
0.0055,0.628571,3
0.006,0.628571,3
0.002,0.742857,1
0.0025,0.742857,1
0.003,0.742857,1
0.0035,0.742857,1
0.004,0.742857,1
0.0045,0.742857,1
0.005,0.742857,1
0.0055,0.742857,1
0.006,0.742857,1
0.002,0.857143,1
0.0025,0.857143,1
0.003,0.857143,1
0.0035,0.857143,1
0.004,0.857143,1
0.0045,0.857143,1
0.005,0.857143,1
0.0055,0.857143,1
0.006,0.857143,1
0.002,0.971429,1
0.0025,0.971429,1
0.003,0.971429,1
0.0035,0.971429,1
0.004,0.971429,1
0.0045,0.971429,1
0.005,0.971429,1
0.0055,0.971429,1
0.006,0.971429,1
0.002,1.08571,1
0.0025,1.08571,1
0.003,1.08571,1
0.0035,1.08571,1
0.004,1.08571,1
0.0045,1.08571,1
0.005,1.08571,1
0.0055,1.08571,1
0.006,1.08571,1
0.002,1.2,1
0.0025,1.2,1
0.003,1.2,1
0.0035,1.2,1
0.004,1.2,1
0.0045,1.2,1
0.005,1.2,1
0.0055,1.2,1
0.006,1.2,1
0.002,-1,1
0.0025,-1,1
0.003,-1,1
0.0035,-1,1
0.004,-1,1
0.0045,-1,1
0.005,-1,0
0.0055,-1,0
0.006,-1,0
